id,text_no_spaces,text_with_spaces,predicted_positions
974,"Тыуходишьтуда,куданехочешьидти,","Ты уходишь туда, куда не хочешь идти,","[2, 9, 14, 18, 20, 26]"
975,"Тыуходишьтуда,нотебятамниктонеждет!","Ты уходишь туда, но тебя там никто не ждет!","[2, 9, 14, 16, 20, 23, 28, 30]"
976,Яидупоулицевзеленомпиджаке.,Яиду по улице в зеленом пиджаке.,"[4, 6, 11, 12, 19]"
977,Мненравятсямоиботинки.,Мне нравятся мои ботинки.,"[3, 11, 14]"
978,Аещекрасивыйгалстукуменя.,Аеще красивый галстук у меня.,"[4, 12, 19, 20]"
979,"Ягладилбрюкидвачаса,","Ягладил брюки два часа,","[7, 12, 15]"
980,Впарикмахерскойсиделсутра.,Впарикмахерской сидел с утра.,"[15, 20, 21]"
981,"Ивотидуяпоулице,одиня.","Ивот иду я по улице, один я.","[4, 7, 8, 10, 16, 20]"
982,Поулицеидуя.,По улице иду я.,"[2, 7, 10]"
983,Поулицеодин.,По улице один.,"[2, 7]"
984,Умоегоприятеляестьновыепластинки.,Умоего приятеля есть новые пластинки.,"[6, 14, 18, 23]"
985,Иязайдувкафеивыпьючашкукофе.,Ия зайду в кафе и выпью чашку кофе.,"[2, 7, 8, 12, 13, 18, 23]"
986,Апотомпойдукнему.,Апотом пойду к нему.,"[6, 11, 12]"
987,ИвзеркалахвитринятакпохожнаБодиХоли.,Ив зеркалах витриня так похож наБодиХоли.,"[2, 10, 17, 20, 25]"
988,Папаскородастсвоюмашинупокататьсямне.,Папа скоро даст свою машину покататься мне.,"[4, 9, 13, 17, 23, 33]"
989,Идуя.,Идуя.,[]
990,Поулицеодиня.,По улице один я.,"[2, 7, 11]"
991,Идуяпоулицеодин.,Идуя по улице один.,"[4, 6, 11]"
992,Весна-постоянныйнасморк.,Весна-постоянный насморк.,[16]
993,Весна-солнцесветитопять.,Весна-солнце светит опять.,"[12, 18]"
994,Ияпромочилноги.,Ияпромочил ноги.,[10]
995,Весна-ияопятьидугулять.,Весна-ия опять иду гулять.,"[8, 13, 16]"
996,Весна-янемогуусидетьдома.,Весна- я не могу усидеть дома.,"[6, 7, 9, 13, 20]"
997,Весна-ялюблювесну.,Весна- я люблю весну.,"[6, 7, 12]"
998,Очемпоютвмоемдворекошки?,Очем поют в моем дворе кошки?,"[4, 8, 9, 13, 18]"
999,"Нет-нет-нет-нет,","Нет-нет-нет-нет,",[]
1000,Янеусну.,Яне усну.,[3]
1001,Весна-яуженегреюпио.,Весна- я уже не грею пио.,"[6, 7, 10, 12, 16]"
1002,Весна-скоровырастеттрава.,Весна-скоро вырастет трава.,"[11, 19]"
1003,"Весна-выпосмотрите,каккрасиво.","Весна - вы посмотрите, как красиво.","[5, 6, 8, 19, 22]"
1004,Весна-гдемояголова?,Весна- где моя голова?,"[6, 9, 12]"
